slug,name,url,author
manonamora,"manonamora's corner",https://manonamora.neocities.org/,O
crocmiam,"CrocMiam",https://crocmiam.itch.io/,
narkhos,"Narkhos",https://narkhos.itch.io/,O
benydanette,"BenyDanette",https://benydanette.itch.io,O
feldo,"Ã€ la table de Feldo",https://www.feldo.fr/,O
lilielinu,"Lilie Bagage",https://linktr.ee/liliebagage,O
gavrochegames,"Gavroche Games",https://gavroche-games.itch.io/,O
atozi,"Atozi",https://atozi.itch.io/,O
stephanef,"StephaneF",https://l-idiot-mystique.blogspot.com/,O
ortaviz,"Wilem Ortiz",https://ortaviz.itch.io/,O
openadventure,"Open Adventure",https://openadventure.fr/,0
stormi,"Samuel Verschelde",https://samuel-v2.itch.io/,O
lapinlunaire,"Lapin Lunaire Games","https://lapinlunaire-games.neocities.org/",O
fifr,"fiction-interactive.fr","https://www.fiction-interactive.fr/",
